('president', 0.5481001989568153)
('national', 0.5400675155789887)
('nuclear', 0.5339094467759667)
('defense', 0.5278332605403889)
('report', 0.5191643347459616)
('north', 0.500231551123913)
('south', 0.49390523665848646)
('act', 0.48641330935193555)
('cost', 0.48499090371832587)
('range', 0.47848621260521085)
('general', 0.4733275141484426)
('security', 0.47321399174687806)
('director', 0.4718632177828193)
('service', 0.4707944745135343)
('joint', 0.4700605977316374)
('war', 0.4661114490486168)
('navy', 0.46510883105317474)
('long', 0.46467817818206736)
('foreign', 0.46301666227975913)
('force', 0.4627664410558329)
('crs', 0.4624197567303594)
('terrorist', 0.45831631835098546)
('military', 0.4575125530587852)
('title', 0.4529750513862205)
('budget', 0.4524606783451065)
('forces', 0.4518045159568239)
('high', 0.45044475070538864)
('office', 0.44386570308962453)
('commission', 0.4418408790076002)
('reserve', 0.44121370253352593)
('working', 0.43674375348706485)
('committee', 0.4352626915785389)
('armed', 0.4340929442608633)
('total', 0.4318865607663077)
('administration', 0.43045402738697386)
('sector', 0.4287126654077518)
('information', 0.42867270161154986)
('sexual', 0.4272961031947209)
('house', 0.42681585972141656)
('attorney', 0.4239169466116977)
('coast', 0.42352348892659275)
('federal', 0.4213780074374666)
('review', 0.4199161207125721)
('research', 0.4195470838929355)
('times', 0.4189998774472565)
('counter', 0.41832805176601284)
('veterans', 0.41815998886508227)
('army', 0.416930205454585)
('list', 0.41586121651687913)
('asia', 0.414599377357501)
('treaty', 0.41212517761376316)
('control', 0.4102858681691597)
('operation', 0.41007713157482106)
('weapons', 0.4091066069831106)
('arms', 0.4079983522996755)
('vice', 0.4074377654568366)
('nations', 0.40628745971688146)
('executive', 0.4059567412837865)
('based', 0.4054328064340137)
('marine', 0.40507338695974326)
('naval', 0.40490854038355056)
('end', 0.40454751942150935)
('international', 0.40449683651622137)
('secretary', 0.4043992210375264)
('court', 0.40335215050210316)
('air', 0.4019994614323987)
('america', 0.40174002916983204)
('xi', 0.3992673114640641)
('senate', 0.399017131532945)
('services', 0.3989477268960716)
('east', 0.3985005809532952)
('request', 0.39712771246541473)
('response', 0.39666597960581124)
('guard', 0.3957157394690356)
('health', 0.39466837642671027)
('congressional', 0.3931478403059063)
('attack', 0.39227852086748305)
('polar', 0.39133984355439544)
('central', 0.3910181487578936)
('crisis', 0.39048682931233575)
('small', 0.39038965788206537)
('law', 0.390334465980885)
('program', 0.38988314745265606)
('acquisition', 0.3888820638908919)
('operations', 0.38801415454488314)
('combatant', 0.38775530320243673)
('authorization', 0.38752003745380387)
('life', 0.38726772336904963)
('conference', 0.38561565915204943)
('ship', 0.3842224026231283)
('order', 0.3831808215776617)
('eligible', 0.38232677934093723)
('reform', 0.381878084896498)
('agency', 0.38084971132121315)
('estimate', 0.3782931203821779)
('active', 0.3782839291192793)
('base', 0.3777895030951327)
('al', 0.3773662746654214)
('class', 0.37561771489018564)
('component', 0.3750885589098392)
('assistance', 0.37438984152015764)
('assessment', 0.3742608430194307)
('article', 0.37311927429651565)
('assault', 0.37264625377922633)
('protests', 0.3717130055700296)
('carolina', 0.37096047104347446)
('sea', 0.37091396883284694)
('islands', 0.370800039582157)
('purpose', 0.3706662772513499)
('agreement', 0.37022575610728675)
('fund', 0.3697352460049659)
('border', 0.3694546923282873)
('light', 0.3683244854441806)
('statement', 0.3667171057222361)
('fy2022', 0.36662098324672976)
('level', 0.3660156130879878)
('intelligence', 0.3660117418280956)
('issues', 0.36582727925708025)
('appropriations', 0.3652354949777233)
('strategy', 0.3639574779901119)
('ships', 0.36345471145842145)
('block', 0.36334022771720814)
('reduction', 0.3616694727978549)
('command', 0.36139968434687775)
('procurement', 0.3613339904266954)
('analytical', 0.361190083897466)
('major', 0.3604146687031886)
('michael', 0.3596870281715109)
('plan', 0.35947987669388304)
('organization', 0.3578993836839774)
('agent', 0.3578798354585523)
('relations', 0.3576669854653778)
('strategic', 0.3575885207170082)
('fy2015', 0.35751278028983563)
('heavy', 0.35740437482581655)
('west', 0.3569951430352936)
('obama', 0.3562907132983988)
('final', 0.3559401810749025)
('chairman', 0.35567063464257)
('terrorism', 0.3553289157425015)
('fy2016', 0.3551601904169631)
('·', 0.35495320194904806)
('contract', 0.3548173340494937)
('european', 0.3547117122375984)
('personnel', 0.35409358784331996)
('export', 0.35362043122169956)
('global', 0.35320398643794404)
('aircraft', 0.352617704832108)
('statutory', 0.3525464902227833)
('updated', 0.35186571617628976)
('emergency', 0.3515488660745785)
('pay', 0.3513062490579013)
('board', 0.35117116844986734)
('financial', 0.3500216743066746)
('legislative', 0.34980599202982227)
('president’s', 0.34881108655251275)
('duty', 0.34858791200495803)
('fy2012', 0.348158556817467)
('affairs', 0.34802550675388516)
('priority', 0.3478792520031301)
('view', 0.34729942861479113)
('steven', 0.34693961020039554)
('development', 0.3469257183910579)
('family', 0.3465341419075877)
('category', 0.3463137125967529)
('support', 0.3461934560712458)
('allowance', 0.345221557402615)
('partnership', 0.3449242696687363)
('missiles', 0.34472955538046546)
('great', 0.3442863693938301)
('officers', 0.34388478340172035)
('special', 0.3438275241921353)
('foundation', 0.3437186694907541)
('comprehensive', 0.3434232922432939)
('systems', 0.3428346502965149)
('convention', 0.3425926979599325)
('coordination', 0.34236844544784695)
('corps', 0.34225500727910085)
('china', 0.34224962373363793)
('department', 0.3421356622161804)
('missile', 0.34189017364249213)
('iaea', 0.3417640316531424)
('cases', 0.34156833745608417)
('data', 0.3413607602757445)
('risk', 0.34128844336204717)
('fy2009', 0.34122234055041406)
('world', 0.3410661378647627)
('republic', 0.3408483972107662)
('persian', 0.3408031627027289)
('resolution', 0.3404496158331982)
('physical', 0.3394721183226015)
('natural', 0.33929935719358634)
('uranium', 0.3392237956742004)
('authority', 0.3391830980697109)
('institution', 0.33913605849715667)
('combat', 0.3384878500606197)
('threat', 0.33842851664735846)
('post', 0.338099302332273)
('state', 0.3368684072153324)
('agreements', 0.33677453714100836)
('amendment', 0.33568670031705156)
('assistant', 0.3356815344627095)
('fleet', 0.33509759140439993)
('decision', 0.33498280773661565)
('release', 0.3345638754767574)
('fy2017', 0.334312210030511)
('columbia', 0.3338969766866444)
('carl', 0.3335963651041932)
('freedom', 0.33344337523786804)
('territorial', 0.33270738869263144)
('member', 0.33247281455268834)
('country', 0.3323948199532687)
('recipients', 0.33209996038020395)
('mattis', 0.3316008621759423)
('multiyear', 0.3315390073400169)
('submarines', 0.3312246017095377)
('funding', 0.330616745470791)
('atlantic', 0.3299724859299833)
('form', 0.32952243796328246)
('va', 0.3289064775720915)
('track', 0.32888634964884)
('version', 0.3285883786481576)
('retirement', 0.3280361545235316)
('basic', 0.3280178166605182)
('selected', 0.32798183373380013)
('briefing', 0.3279682320525456)
('ndaa', 0.32765732264840847)
('vietnam', 0.3276072426010534)
('iv', 0.3270720810853951)
('initiative', 0.32694118859726184)
('countries', 0.3263735731282921)
('enemy', 0.3260699495942737)
('care', 0.32590563507256765)
('phase', 0.3258584602919897)
('obligations', 0.32582599684147695)
('arctic', 0.3258066693571205)
('cooperation', 0.32557583699146686)
('chief', 0.3252532285505839)
('text', 0.3243934649468893)
('flag', 0.32427688093537954)
('bank', 0.3241284742070848)
('framework', 0.32410351395659165)
('material', 0.32391302391901045)
('fy2019', 0.3237601306928985)
('management', 0.3232512421952827)
('power', 0.32293812965143676)
('homeland', 0.3225506052799011)
('capable', 0.32253087501726785)
('purple', 0.322312250708065)
('permanent', 0.32224021430647015)
('fourth', 0.32220828060499584)
('fy2014', 0.32212895295055827)
('council', 0.3220674831101436)
('fy2008', 0.3219313377994123)
('southern', 0.3217587380619172)
('organized', 0.32124741655401934)
('flight', 0.32073371277584506)
('annual', 0.32054830726682815)
('environment', 0.3205021359842621)
('mark', 0.32045923540568233)
('advanced', 0.3201058586762005)
('paul', 0.31967065610066514)
('fact', 0.319457643695589)
('mandated', 0.3189030641971629)
('safety', 0.3187434294315695)
('fy2013', 0.3186076885897876)
('conflict', 0.31851438892387673)
('weapon', 0.3175622416946083)
('background', 0.3174045586307488)
('cold', 0.3172153280344473)
('modernization', 0.31715449551993796)
('suppliers', 0.3171190269821026)
('vii', 0.3170053525794512)
('warhead', 0.31631265139506276)
('provisions', 0.3162661638328177)
('contracting', 0.3161604267074264)
('ready', 0.3158373930999949)
('john', 0.3157833073585664)
('tests', 0.31560733791966183)
('western', 0.3155271814891024)
('emerging', 0.31533266425640716)
('programs', 0.3151323813585414)
('persons', 0.3150072204855433)
('acts', 0.31497463005679704)
('construction', 0.31487053301006557)
('press', 0.3146232655198112)
('africa', 0.3144421404451069)
('pilot', 0.31444094931688127)
('supply', 0.31407856289201125)
('entry', 0.31397144606924293)
('middle', 0.3136176346618529)
('era', 0.3132937205137261)
('energy', 0.313152278593558)
('helicopters', 0.31311862186858097)
('business', 0.31294718533529076)
('large', 0.31293252049077075)
('materials', 0.3128392872831404)
('transfer', 0.31283553159024297)
('icebreaker', 0.3127273396252263)
('action', 0.31254646554916105)
('aegis', 0.31223811411547553)
('public', 0.31211322460416635)
('pacific', 0.31177392702928425)
('white', 0.3115624102323181)
('author', 0.3115026734927586)
('ohio', 0.31147800343742477)
('passage', 0.31099467840404027)
('availability', 0.3103793625323406)
('monitor', 0.3095441270025762)
('contingency', 0.3094982957628987)
('protection', 0.3086359615362417)
('united', 0.30838725042601656)
('states', 0.3072961452604412)
('adoption', 0.3069723552916314)
('benefit', 0.3066077811577707)
('david', 0.3066021390460267)
('ratio', 0.30650356044351285)
('capability', 0.3063816426687925)
('selective', 0.30582760815222915)
('launched', 0.30581491343115247)
('fy2021', 0.305500747565049)
('enduring', 0.3051275477655712)
('zone', 0.3050001067380259)
('fissile', 0.304300101320993)
('inspector', 0.30428411472381295)
('korea', 0.3042713828359754)
('chain', 0.3042560027483258)
('radioactive', 0.3042484400603268)
('common', 0.30394339510176516)
('supreme', 0.3033774130227985)
('benefits', 0.30323744283422)
('sales', 0.30318729402341676)
('medium', 0.30313717028471715)
('iran', 0.3025805264020758)
('gulf', 0.3011988278451794)
('agencies', 0.30088230289336737)
('removal', 0.3007772179153306)
('bills', 0.30070382211664876)
('disaster', 0.3001039416499858)
('justice', 0.3000466315068144)
('admiral', 0.2999446264979689)
('proliferation', 0.299796930796344)
('san', 0.299717222193595)
('inf', 0.29939380906486396)
('open', 0.29921307726807)
('continental', 0.29867319228048306)
('hypervelocity', 0.2984973639344552)
('safeguards', 0.2983108068096062)
('representative', 0.2980109056737048)
('river', 0.29798330648775095)
('heart', 0.2978963021820078)
('academies', 0.29756779721271753)
('newport', 0.2975163296249027)
('marshall', 0.2974223366654077)
('amendments', 0.2973992565366907)
('key', 0.2973858329684451)
('intellectual', 0.2973130064519385)
('critical', 0.2970663455126024)
('collection', 0.296950787361555)
('hornets', 0.2965370281833016)
('fy2018', 0.2963776795194897)
('planning', 0.2962884748886567)
('case', 0.29623948062235494)
('coalition', 0.2961871436930404)
('humanitarian', 0.29577309308488464)
('groups', 0.29563880074463567)
('vi', 0.29553716337534386)
('deputy', 0.2952159211941769)
('element', 0.2951658702858291)
('iii', 0.29506755075516117)
('studies', 0.2949597175434138)
('russian', 0.29466265758800125)
('grand', 0.2945335757270901)
('wide', 0.2943822226724897)
('reports', 0.2943745151014203)
('stockpile', 0.29431651537068854)
('protections', 0.29413555732418756)
('biological', 0.293936867451791)
('trump', 0.29362628879343905)
('hurricane', 0.29324467556282546)
('commandant', 0.29249452420831545)
('firms', 0.2923621436820163)
('deployment', 0.29212829222612946)
('activities', 0.29205647794508205)
('oco', 0.2920406411033761)
('fuel', 0.2919913902675866)
('line', 0.2918953486031331)
('wall', 0.29132545159865275)
('soviet', 0.29096427919716356)
('protest', 0.29094405112846666)
('surface', 0.29071001811520264)
('advantage', 0.290358013852012)
('thomas', 0.2902431361401232)
('institute', 0.2900800183894635)
('retirees', 0.2899187171561831)
('select', 0.2897151289161027)
('volume', 0.289533550479035)
('contractors', 0.28944421493096845)
('formula', 0.28943503857322656)
('acting', 0.2894206214297749)
('american', 0.2892713767407223)
('overview', 0.28919450263173635)
('leading', 0.2891880915577733)
('elements', 0.28894789871645415)
('levin', 0.2885547996015667)
('disputes', 0.28844698711413863)
('hours', 0.28829843121739246)
('community', 0.287646941777738)
('officer', 0.2874999989800676)
('tricare', 0.2872677464274402)
('shipbuilding', 0.2870358480775095)
('hawks', 0.2869975901108453)
('proposals', 0.28678989941491406)
('verification', 0.2867103383667683)
('iran’s', 0.2866482557311453)
('staff', 0.28656482603003963)
('victims', 0.286408985905652)
('illness', 0.2863671727501261)
('ii', 0.28618607948653335)
('contributions', 0.28612789426855645)
('army’s', 0.28598925225294086)
('oxide', 0.2858169314072706)
('regular', 0.28579394548609877)
('principal', 0.2857249346095008)
('designated', 0.28571453536383823)
('papers', 0.2855857111921858)
('draft', 0.285210864719682)
('learning', 0.285187726437082)
('horizon', 0.2851084174702292)
('classified', 0.2851016907722317)
('proposed', 0.28497500377358337)
('group', 0.2849421646970677)
('district', 0.28490785670881086)
('actions', 0.28476852049008583)
('operational', 0.28452287415686794)
('pressure', 0.2845136981156492)
('prevention', 0.2842792781189101)
('discharge', 0.2840416388842853)
('dod', 0.28397529092263635)
('geneva', 0.2836186281221252)
('plans', 0.28300884177396823)
('majority', 0.2829190466116128)
('nondisclosure', 0.2824414550026837)
('code', 0.28229901518146455)
('continuing', 0.2822718959208829)
('process', 0.2820552840414061)
('deterrent', 0.28165231091214693)
('consolidated', 0.281629907855102)
('activity', 0.281517672845276)
('martin', 0.2814698568704098)
('maritime', 0.28136071816501124)
('eligibility', 0.28125876368543734)
('design', 0.2812191299522722)
('jim', 0.28114176720494477)
('explosive', 0.2809507846116822)
('prime', 0.28089084709852197)
('star', 0.2807362980510341)
('b61', 0.2806468526749654)
('focus', 0.28056590575357687)
('test', 0.2805205589454229)
('project', 0.2804059525764165)
('award', 0.2803891907539723)
('developing', 0.2802886460752497)
('directed', 0.2802045572992942)
('strike', 0.2801860894982788)
('recommendations', 0.2799791926340547)
('transit', 0.2799668750692315)
('bomber', 0.2798419237435733)
('goals', 0.27964936882056585)
('evidence', 0.2796364071324596)
('commands', 0.2796324832685726)
('strait', 0.2795492666885102)
('mission', 0.2793382934956782)
('names', 0.27931557214584746)
('related', 0.27929211556277456)
('funds', 0.27909582828608503)
('fully', 0.2790688832273129)
('artificial', 0.2790563954464709)
('controls', 0.2788685208864052)
('strength', 0.2784973444875577)
('delivery', 0.2783690110590244)
('change', 0.27832130282200085)
('news', 0.2781360721160146)
('investment', 0.2780070578913945)
('term', 0.27799639334692855)
('economic', 0.277967807567384)
('fort', 0.27785704074343415)
('custody', 0.2776382547808046)
('short', 0.27757066129119695)
('week', 0.27753198566948223)
('passed', 0.27743880775717056)
('servicemembers', 0.2771991965839018)
('senior', 0.27681870344629655)
('detention', 0.2766854546664069)
('context', 0.2766231372971862)
('quality', 0.2766146238675664)
('trial', 0.2765879374441116)
('virginia', 0.27657146009103645)
('record', 0.27642567047722666)
('relief', 0.27619617600509017)
('nsc', 0.2760360285897973)
('korean', 0.27586483835851533)
('capacity', 0.275831755202048)
('retention', 0.27580374647137523)
('fy2007', 0.27577817369239155)
('government', 0.2756552782869252)
('incremental', 0.2755938241837934)
('technologies', 0.275445985357784)
('free', 0.27507037971363707)
('amy', 0.27466253032990406)
('burial', 0.2746372971674763)
('early', 0.27459739767184455)
('gender', 0.2745823338196161)
('conventional', 0.27454015557851624)
('study', 0.2744864929701565)
('regional', 0.27441190992545755)
('carrier', 0.27432579909344185)
('fy2006', 0.2740938170524906)
('city', 0.27403335271504276)
('equipped', 0.27403274921593934)
('commander’s', 0.27396643948660987)
('consideration', 0.2738709743983241)
('characteristics', 0.27370010606744466)
('receipt', 0.2736785484311983)
('elimination', 0.27361846360129666)
('enriched', 0.27348774083054156)
('leave', 0.2734185981586607)
('policy', 0.2733528566164164)
('combined', 0.2732892928054778)
('century', 0.27307945401530553)
('taiwan', 0.2729771862082007)
('compared', 0.2727260570700149)
('resolve', 0.2727100804658574)
('introduction', 0.27252562760299126)
('reviewed', 0.2722079274165485)
('afghan', 0.271730340269834)
('injury', 0.27162291660592075)
('letters', 0.2714265821087597)
('analysis', 0.2709793702498004)
('twin', 0.27083201156582637)
('tallinn', 0.27083201156582626)
('housing', 0.27058445039119927)
('sufficiently', 0.27046223248985485)
('mhs', 0.27035834741055864)
('judicial', 0.2702724954518261)
('spending', 0.27026313077207903)
('lead', 0.26999967858703167)
('production', 0.26996921366533105)
('el', 0.2696742359939947)
('dual', 0.269655038343559)
('requirement', 0.26961577513581275)
('source', 0.2695545698007882)
('islamic', 0.269180606725457)
('graduate', 0.26886594883442005)
('bush', 0.26881826024472627)
('southwest', 0.2687294502854344)
('exposure', 0.268682748441857)
('rate', 0.26836792255517466)
('excess', 0.26835476401155045)
('paso', 0.2683201776159021)
('frequently', 0.26831061683165125)
('opportunity', 0.268242044020758)
('women', 0.26813486345557475)
('property', 0.268072124944237)
('people’s', 0.26802906299707796)
('trident', 0.2680026771944047)
('space', 0.26785195065701567)
('jcpoa', 0.2676938664436649)
('status', 0.26722571594729655)
('security’s', 0.26716803556938645)
('remaining', 0.2669827642706871)
('lieutenant', 0.2668514282170375)
('violence', 0.26683133819690863)
('unauthorized', 0.2667840961107074)
('structure', 0.26665078217200144)
('individuals', 0.26612547456511043)
('requirements', 0.2660978172603819)
('cruise', 0.26601629858152476)
('recent', 0.26592988490127)
('disclosures', 0.2655955404862578)
('credit', 0.265571097596598)
('additional', 0.2655277430254924)
('criteria', 0.265501464195947)
('average', 0.26539766348858024)
('vha', 0.2649882723356397)
('effects', 0.2649862964351683)
