freq,f_len,max_subgram_freq,partial_order,min_support,mutual_confidence,f_avg_wordlength,f_pos_nn,f_pos_prop,f_pos_verb,f_pos_adj,f_pos_deter,f_pos_empty,f_pos_other,f_completeness,f_postagUniqueness,is_know_phrase
3,12,131,0,0.19,0.682,8.42,0.917,0.0,0.083,0.0,0.0,0.0,0.0,0,0,2
1,15,131,0,0.33,0.259,8.4,0.933,0.0,0.067,0.0,0.0,0.0,0.0,0,0,2
6,7,131,0,0.07,1.086,8.86,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
1,9,131,0,0.01,0.784,8.33,0.889,0.0,0.111,0.0,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
29,2,0,0,2.07,-1,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,4,29,0,0.03,-1,5.75,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0,0,2
7,4,747,0,0.24,0.024,8.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
25,6,747,0,0.86,0.37,8.17,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
1,8,747,0,0.04,3.0,8.38,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
5,2,0,0,0.36,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
1,6,5,0,0.2,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
131,2,0,0,9.36,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
33,4,131,0,0.25,1.439,9.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
40,6,131,0,0.31,0.653,9.0,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
11,10,131,0,0.28,2.448,9.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0,0,2
2,12,131,0,0.18,1.797,8.58,0.917,0.0,0.083,0.0,0.0,0.0,0.0,0,0,2
1,14,131,0,0.09,1.5,8.5,0.929,0.0,0.071,0.0,0.0,0.0,0.0,0,0,2
1,4,131,0,0.01,0.504,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,4,131,0,0.01,66.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,6,131,0,0.01,0.985,9.0,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
1,4,131,0,0.01,66.0,7.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,4,172,0,0.01,0.384,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
2,2,0,0,0.14,-1,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
2,2,0,0,0.14,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
2,1,0,0,0.14,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
